Number of records, Time (ms)
10000, 235
20000, 99
30000, 82
40000, 86
50000, 77
60000, 67
70000, 63
80000, 41
90000, 42
100000, 41
110000, 42
120000, 43
130000, 38
140000, 59
150000, 64
160000, 53
170000, 42
180000, 41
190000, 40
200000, 41
210000, 40
220000, 1337
230000, 42
240000, 38
250000, 44
260000, 41
270000, 40
280000, 40
290000, 40
300000, 40
310000, 38
320000, 41
330000, 43
340000, 55
350000, 62
360000, 66
370000, 68
380000, 52
390000, 39
400000, 40
410000, 40
420000, 39
430000, 41
440000, 39
450000, 41
460000, 1447
470000, 41
480000, 38
490000, 39
500000, 39
510000, 45
520000, 40
530000, 42
540000, 40
550000, 40
560000, 40
570000, 38
580000, 40
590000, 39
600000, 40
610000, 40
620000, 42
630000, 40
640000, 60
650000, 63
660000, 62
670000, 39
680000, 39
690000, 40
700000, 1489
710000, 39
720000, 39
730000, 38
740000, 39
750000, 41
760000, 39
770000, 42
780000, 41
790000, 38
800000, 38
810000, 40
820000, 45
830000, 41
840000, 37
850000, 38
860000, 40
870000, 39
880000, 39
890000, 37
900000, 38
910000, 40
920000, 39
930000, 40
940000, 1577
950000, 40
960000, 38
970000, 37
980000, 58
990000, 60
1000000, 61
